TIME(MS),COMMAND,VALUE
 032620 ,1      ,1
 032670 ,1      ,0
 032720 ,2      ,1
 032770 ,2      ,0
 032820 ,3      ,1
 032820 ,STAR_POINT5,0,0,0
 032870 ,3      ,0
 032920 ,4      ,1
 032970 ,4      ,0
 033020 ,8      ,0
 033020 ,7      ,1
 033020 ,STAR_POINT2,0,255,0
 033020 ,5      ,1
 033070 ,5      ,0
 033120 ,4      ,1
 033170 ,4      ,0
 033220 ,3      ,1
 033220 ,STAR_POINT1,0,0,0 
 033270 ,3      ,0
 033320 ,2      ,1
 033370 ,2      ,0
 033420 ,7      ,0
 033420 ,8      ,1
 033420 ,STAR_POINT3,0,0,255
 033420 ,1      ,1
 033470 ,1      ,0
 033520 ,2      ,1
 033570 ,2      ,0
 033620 ,3      ,1
 033620 ,STAR_POINT2,0,0,0 
 033670 ,3      ,0
 033720 ,4      ,1
 033770 ,4      ,0 
 033820 ,8      ,0
 033820 ,6      ,1
 033820 ,STAR_POINT4,255,0,0
 033820 ,5      ,1
 033870 ,5      ,0
 033920 ,4      ,1
 033970 ,4      ,0
 034020 ,3      ,1
 034020 ,STAR_POINT3,0,0,0 
 034070 ,3      ,0
 034120 ,2      ,1
 034170 ,2      ,0 
 034220 ,6      ,0
 034250 ,7      ,1
 034250 ,STAR_POINT5,0,255,0
 034250 ,1      ,1
 034300 ,1      ,0
 034350 ,2      ,1
 034400 ,2      ,0
 034450 ,3      ,1
 034450 ,STAR_POINT4,0,0,0
 034500 ,3      ,0
 034550 ,4      ,1
 034600 ,4      ,0   
 034650 ,7      ,0
 034650 ,6      ,1
 034650 ,STAR_POINT1,255,0,0
 034650 ,5      ,1
 034700 ,5      ,0
 034750 ,4      ,1
 034800 ,4      ,0
 034850 ,3      ,1
 034850 ,STAR_POINT5,0,0,0
 034900 ,3      ,0
 034950 ,2      ,1
 035000 ,2      ,0 
 035050 ,6      ,0
 035050 ,8      ,1
 035050 ,STAR_POINT2,0,0,255
 035050 ,1      ,1
 035100 ,1      ,0
 035150 ,2      ,1
 035200 ,2      ,0
 035250 ,3      ,1
 035250 ,STAR_POINT1,0,0,0
 035300 ,3      ,0
 035350 ,4      ,1
 035400 ,4      ,0 
 035450 ,8      ,0 
 035450 ,7      ,1
 035450 ,STAR_POINT3,0,255,0
 035450 ,5      ,1
 035500 ,5      ,0
 035550 ,4      ,1
 035600 ,4      ,0
 035650 ,3      ,1
 035650 ,STAR_POINT2,0,0,0 
 035700 ,3      ,0
 035750 ,7      ,0 
 035850 ,6      ,1
 035850 ,7      ,1
 035850 ,8      ,1
